measurementSiteReference,startLocatieForDisplayLat,startLocatieForDisplayLong,ROADNUMBER,Rijksweg
RWS01_MONIBAS_0010vwa0223ra,52.2841,5.18365,A1,1
RWS01_MONIBAS_0010vwa0269ra,52.2493,5.21355,A1,1
RWS01_MONIBAS_0010vwa0286ra,52.2379,5.22785,A1,1
RWS01_MONIBAS_0010vwa0541ra,52.1663,5.56221,A1,1
RWS01_MONIBAS_0010vwa0639ra,52.1906,5.69815,A1,1
RWS01_MONIBAS_0010vwa0892ra,52.196,6.04323,A1,1
RWS01_MONIBAS_0010vwa0950ra,52.2164,6.1212,A1,1
RWS01_MONIBAS_0010vwa1049ra,52.2343,6.18666,A1,1
RWS01_MONIBAS_0010vwa1128ra,52.2429,6.30103,A1,1
RWS01_MONIBAS_0010vwa1192ra,52.2484,6.39318,A1,1
RWS01_MONIBAS_0010vwa1234ra,52.26,6.45036,A1,1
RWS01_MONIBAS_0010vwa1310ra,52.2836,6.55168,A1,1
RWS01_MONIBAS_0010vwa1577ra,52.2862,6.76684,A1,1
RWS01_MONIBAS_0010vwa1627ra,52.2765,6.83474,A1,1
RWS01_MONIBAS_0010vwa1667ra,52.2939,6.885,A1,1
RWS01_MONIBAS_0010vwa1694ra,52.2882,6.92343,A1,1
RWS01_MONIBAS_0010vwa1757ra,52.3086,7.00491,A1,1
RWS01_MONIBAS_0010vwb0226ra,52.2818,5.18352,A1,1
RWS01_MONIBAS_0010vwb0249ra,52.2665,5.20492,A1,1
RWS01_MONIBAS_0010vwb0270ra,52.2487,5.21345,A1,1
RWS01_MONIBAS_0010vwb0287ra,52.2376,5.22916,A1,1
RWS01_MONIBAS_0010vwb1051ra,52.2342,6.18903,A1,1
RWS01_MONIBAS_0010vwb1132ra,52.2428,6.30632,A1,1
RWS01_MONIBAS_0010vwb1200ra,52.2499,6.40418,A1,1
RWS01_MONIBAS_0010vwb1236ra,52.2615,6.45388,A1,1
RWS01_MONIBAS_0010vwb1317ra,52.284,6.56209,A1,1
RWS01_MONIBAS_0010vwb1666ra,52.2938,6.88603,A1,1
RWS01_MONIBAS_0010vwb1697ra,52.2878,6.92747,A1,1
RWS01_MONIBAS_0010vwb1759ra,52.3092,7.00833,A1,1
RWS01_MONIBAS_0010vwc0228ra,52.2804,5.18435,A1,1
RWS01_MONIBAS_0010vwc0251ra,52.2653,5.20709,A1,1
RWS01_MONIBAS_0010vwc0270ra,52.2488,5.21396,A1,1
RWS01_MONIBAS_0010vwc0287ra,52.238,5.22985,A1,1
RWS01_MONIBAS_0010vwc1050ra,52.2349,6.1882,A1,1
RWS01_MONIBAS_0010vwc1139ra,52.2432,6.31613,A1,1
RWS01_MONIBAS_0010vwc1200ra,52.2504,6.40489,A1,1
RWS01_MONIBAS_0010vwc1243ra,52.2653,6.46181,A1,1
RWS01_MONIBAS_0010vwc1317ra,52.2844,6.56206,A1,1
RWS01_MONIBAS_0010vwc1667ra,52.2958,6.88825,A1,1
RWS01_MONIBAS_0010vwc1764ra,52.3108,7.01459,A1,1
RWS01_MONIBAS_0010vwd0226ra,52.2818,5.18412,A1,1
RWS01_MONIBAS_0010vwd0245ra,52.2692,5.20049,A1,1
RWS01_MONIBAS_0010vwd0269ra,52.2497,5.2135,A1,1
RWS01_MONIBAS_0010vwd0285ra,52.2388,5.22818,A1,1
RWS01_MONIBAS_0010vwd0548ra,52.1695,5.5662,A1,1
RWS01_MONIBAS_0010vwd0563ra,52.1695,5.5935,A1,1
RWS01_MONIBAS_0010vwd0692ra,52.1992,5.77426,A1,1
RWS01_MONIBAS_0010vwd0897ra,52.1987,6.04932,A1,1
RWS01_MONIBAS_0010vwd1042ra,52.234,6.17656,A1,1
RWS01_MONIBAS_0010vwd1136ra,52.2432,6.31244,A1,1
RWS01_MONIBAS_0010vwd1192ra,52.2488,6.39318,A1,1
RWS01_MONIBAS_0010vwd1240ra,52.2638,6.45828,A1,1
RWS01_MONIBAS_0010vwd1311ra,52.2841,6.5522,A1,1
RWS01_MONIBAS_0010vwd1668ra,52.2952,6.88541,A1,1
RWS01_MONIBAS_0010vwd1695ra,52.2886,6.92391,A1,1
RWS01_MONIBAS_0010vwd1757ra,52.3091,7.00508,A1,1
RWS01_MONIBAS_0010vwe0079ra,52.3327,5.00307,A1,1
RWS01_MONIBAS_0010vwe0083ra,52.3295,5.00512,A1,1
RWS01_MONIBAS_0010vwe0445ra,52.1757,5.42502,A1,1
RWS01_MONIBAS_0010vwe0446ra,52.1745,5.42534,A1,1
RWS01_MONIBAS_0010vwe0873ra,52.1854,6.02087,A1,1
RWS01_MONIBAS_0010vwe1413ra,52.309,6.69257,A1,1
RWS01_MONIBAS_0010vwe1416ra,52.309,6.69682,A1,1
RWS01_MONIBAS_0010vwe1421ra,52.3075,6.70449,A1,1
RWS01_MONIBAS_0010vwf0046ra,52.3511,4.96509,A1,1
RWS01_MONIBAS_0010vwf0155ra,52.3162,5.11456,A1,1
RWS01_MONIBAS_0010vwf0161ra,52.3122,5.11538,A1,1
RWS01_MONIBAS_0010vwf0163ra,52.3118,5.11515,A1,1
RWS01_MONIBAS_0010vwf0296ra,52.2325,5.24266,A1,1
RWS01_MONIBAS_0010vwf0447ra,52.1755,5.43171,A1,1
RWS01_MONIBAS_0010vwf0449ra,52.1742,5.43209,A1,1
RWS01_MONIBAS_0010vwf0876ra,52.1905,6.02309,A1,1
RWS01_MONIBAS_0010vwg0148ra,52.3167,5.09823,A1,1
RWS01_MONIBAS_0010vwg0150ra,52.3152,5.0997,A1,1
RWS01_MONIBAS_0010vwg0153ra,52.314,5.1029,A1,1
RWS01_MONIBAS_0010vwh0296ra,52.2332,5.24189,A1,1
RWS01_MONIBAS_0010vwh0300ra,52.2297,5.24345,A1,1
RWS01_MONIBAS_0010vwj0447ra,52.1748,5.42928,A1,1
RWS01_MONIBAS_0010vwk0075ra,52.3342,5.00447,A1,1
RWS01_MONIBAS_0010vwk0078ra,52.3333,5.00287,A1,1
RWS01_MONIBAS_0010vwk1550ra,52.2833,6.74365,A1,1
RWS01_MONIBAS_0010vwm0282ra,52.2405,5.2241,A1,1
RWS01_MONIBAS_0010vwm0283ra,52.2395,5.22588,A1,1
RWS01_MONIBAS_0010vwm0286ra,52.2381,5.22846,A1,1
RWS01_MONIBAS_0010vwm0289ra,52.2359,5.23233,A1,1
RWS01_MONIBAS_0010vwm0295ra,52.2319,5.23838,A1,1
RWS01_MONIBAS_0010vwm0298ra,52.2301,5.24095,A1,1
RWS01_MONIBAS_0010vwm0302ra,52.2275,5.24559,A1,1
RWS01_MONIBAS_0010vwm0308ra,52.2249,5.25307,A1,1
RWS01_MONIBAS_0010vwm0316ra,52.2238,5.26375,A1,1
RWS01_MONIBAS_0010vwm0438ra,52.1881,5.41127,A1,1
RWS01_MONIBAS_0010vwm0442ra,52.178,5.42475,A1,1
RWS01_MONIBAS_0010vwm0445ra,52.1758,5.42778,A1,1
RWS01_MONIBAS_0010vwm0448ra,52.1741,5.43076,A1,1
RWS01_MONIBAS_0010vwm0873ra,52.1867,6.0202,A1,1
RWS01_MONIBAS_0010vwm0876ra,52.1881,6.02394,A1,1
RWS01_MONIBAS_0010vwm0882ra,52.191,6.03109,A1,1
RWS01_MONIBAS_0010vwm0885ra,52.188,6.02268,A1,1
RWS01_MONIBAS_0010vwn0286ra,52.2382,5.22916,A1,1
RWS01_MONIBAS_0010vwn0296ra,52.233,5.24128,A1,1
RWS01_MONIBAS_0010vwn0304ra,52.2273,5.24762,A1,1
RWS01_MONIBAS_0010vwn0304rb,52.2273,5.24762,A1,1
RWS01_MONIBAS_0010vwn0309ra,52.2253,5.25384,A1,1
RWS01_MONIBAS_0010vwn0315ra,52.2242,5.26233,A1,1
RWS01_MONIBAS_0010vwn0316ra,52.2241,5.26437,A1,1
RWS01_MONIBAS_0010vwn0438ra,52.1807,5.42165,A1,1
RWS01_MONIBAS_0010vwn0443ra,52.1775,5.42609,A1,1
RWS01_MONIBAS_0010vwn0446ra,52.1756,5.42904,A1,1
RWS01_MONIBAS_0010vwn0451ra,52.1724,5.43502,A1,1
RWS01_MONIBAS_0010vwn0451rb,52.1724,5.43502,A1,1
RWS01_MONIBAS_0010vwn0455ra,52.1708,5.43859,A1,1
RWS01_MONIBAS_0010vwn0457ra,52.1693,5.44179,A1,1
RWS01_MONIBAS_0010vwn0874ra,52.1877,6.02155,A1,1
RWS01_MONIBAS_0010vwn0877ra,52.1892,6.02531,A1,1
RWS01_MONIBAS_0010vwn0882ra,52.1914,6.03083,A1,1
RWS01_MONIBAS_0010vwp0073ra,52.3348,4.99577,A1,1
RWS01_MONIBAS_0010vwp0076ra,52.3337,4.99952,A1,1
RWS01_MONIBAS_0010vwp0079ra,52.333,5.00285,A1,1
RWS01_MONIBAS_0010vwp0082ra,52.3325,5.0073,A1,1
RWS01_MONIBAS_0010vwp0085ra,52.3324,5.01122,A1,1
RWS01_MONIBAS_0010vwp0089ra,52.3325,5.01706,A1,1
RWS01_MONIBAS_0010vwp0091ra,52.3324,5.02073,A1,1
RWS01_MONIBAS_0010vwp0093ra,52.3324,5.02324,A1,1
RWS01_MONIBAS_0010vwp0098ra,52.3322,5.03053,A1,1
RWS01_MONIBAS_0010vwp0099ra,52.3322,5.03269,A1,1
RWS01_MONIBAS_0010vwp0099rb,52.3322,5.03269,A1,1
RWS01_MONIBAS_0010vwp0101ra,52.3321,5.0349,A1,1
RWS01_MONIBAS_0010vwp0104ra,52.3321,5.03898,A1,1
RWS01_MONIBAS_0010vwp0107ra,52.3321,5.04343,A1,1
RWS01_MONIBAS_0010vwp0110ra,52.3317,5.04771,A1,1
RWS01_MONIBAS_0010vwp0112ra,52.3311,5.05064,A1,1
RWS01_MONIBAS_0010vwp0114ra,52.3303,5.05311,A1,1
RWS01_MONIBAS_0010vwp0116ra,52.3295,5.05572,A1,1
RWS01_MONIBAS_0010vwp0122ra,52.3269,5.06342,A1,1
RWS01_MONIBAS_0010vwp0124ra,52.3261,5.06621,A1,1
RWS01_MONIBAS_0010vwp0126ra,52.3252,5.06919,A1,1
RWS01_MONIBAS_0010vwp0129ra,52.3243,5.07275,A1,1
RWS01_MONIBAS_0010vwp0132ra,52.323,5.07715,A1,1
RWS01_MONIBAS_0010vwp0135ra,52.3213,5.08009,A1,1
RWS01_MONIBAS_0010vwp0138ra,52.3208,5.085,A1,1
RWS01_MONIBAS_0010vwp0140ra,52.3199,5.08791,A1,1
RWS01_MONIBAS_0010vwp0142ra,52.319,5.09122,A1,1
RWS01_MONIBAS_0010vwp0144ra,52.3183,5.09361,A1,1
RWS01_MONIBAS_0010vwp0148ra,52.3169,5.0984,A1,1
RWS01_MONIBAS_0010vwp0152ra,52.3155,5.1033,A1,1
RWS01_MONIBAS_0010vwp0153ra,52.3149,5.10565,A1,1
RWS01_MONIBAS_0010vwp0213ra,52.2932,5.17851,A1,1
RWS01_MONIBAS_0010vwq0073ra,52.3348,4.99577,A1,1
RWS01_MONIBAS_0010vwq0076ra,52.3337,4.99952,A1,1
RWS01_MONIBAS_0010vwq0079ra,52.333,5.00285,A1,1
RWS01_MONIBAS_0010vwq0082ra,52.3325,5.00716,A1,1
RWS01_MONIBAS_0010vwq0085ra,52.3324,5.01109,A1,1
RWS01_MONIBAS_0010vwq0089ra,52.3325,5.01706,A1,1
RWS01_MONIBAS_0010vwq0091ra,52.3324,5.02073,A1,1
RWS01_MONIBAS_0010vwq0093ra,52.3324,5.02324,A1,1
RWS01_MONIBAS_0010vwq0098ra,52.3322,5.03054,A1,1
RWS01_MONIBAS_0010vwq0101ra,52.3321,5.0349,A1,1
RWS01_MONIBAS_0010vwq0104ra,52.3321,5.03898,A1,1
RWS01_MONIBAS_0010vwq0107ra,52.3321,5.04343,A1,1
RWS01_MONIBAS_0010vwq0110ra,52.3317,5.04771,A1,1
RWS01_MONIBAS_0010vwq0112ra,52.3311,5.05064,A1,1
RWS01_MONIBAS_0010vwq0114ra,52.3303,5.05311,A1,1
RWS01_MONIBAS_0010vwq0117ra,52.3289,5.05741,A1,1
RWS01_MONIBAS_0010vwq0122ra,52.3269,5.06342,A1,1
RWS01_MONIBAS_0010vwq0124ra,52.3261,5.06621,A1,1
RWS01_MONIBAS_0010vwq0126ra,52.3252,5.06919,A1,1
RWS01_MONIBAS_0010vwq0129ra,52.3242,5.07315,A1,1
RWS01_MONIBAS_0010vwq0132ra,52.323,5.07715,A1,1
RWS01_MONIBAS_0010vwq0135ra,52.3225,5.08147,A1,1
RWS01_MONIBAS_0010vwq0138ra,52.3208,5.085,A1,1
RWS01_MONIBAS_0010vwq0140ra,52.3199,5.08791,A1,1
RWS01_MONIBAS_0010vwq0142ra,52.319,5.09122,A1,1
RWS01_MONIBAS_0010vwq0144ra,52.3183,5.09361,A1,1
RWS01_MONIBAS_0010vwq0149ra,52.3164,5.10016,A1,1
RWS01_MONIBAS_0010vwq0152ra,52.3155,5.1033,A1,1
RWS01_MONIBAS_0010vwq0153ra,52.3149,5.10565,A1,1
RWS01_MONIBAS_0010vwq0157ra,52.3134,5.11081,A1,1
RWS01_MONIBAS_0010vwq0160ra,52.315,5.10514,A1,1
RWS01_MONIBAS_0010vwq0213ra,52.2932,5.17929,A1,1
RWS01_MONIBAS_0011hrl0040ra,52.35,4.9608,A1,1
RWS01_MONIBAS_0011hrl0045ra,52.3519,4.96559,A1,1
RWS01_MONIBAS_0011hrl0050ra,52.3489,4.96963,A1,1
RWS01_MONIBAS_0011hrl0050rb,52.3489,4.96963,A1,1
RWS01_MONIBAS_0011hrl0052ra,52.3476,4.97305,A1,1
RWS01_MONIBAS_0011hrl0056ra,52.3459,4.97692,A1,1
RWS01_MONIBAS_0011hrl0060ra,52.3434,4.98123,A1,1
RWS01_MONIBAS_0011hrl0065ra,52.3393,4.98648,A1,1
RWS01_MONIBAS_0011hrl0072ra,52.3354,4.99429,A1,1
RWS01_MONIBAS_0011hrl0074ra,52.3345,4.99724,A1,1
RWS01_MONIBAS_0011hrl0082ra,52.3326,5.00757,A1,1
RWS01_MONIBAS_0011hrl0085ra,52.3325,5.01131,A1,1
RWS01_MONIBAS_0011hrl0089ra,52.3325,5.01708,A1,1
RWS01_MONIBAS_0011hrl0094ra,52.3324,5.02531,A1,1
RWS01_MONIBAS_0011hrl0098ra,52.3323,5.03059,A1,1
RWS01_MONIBAS_0011hrl0101ra,52.3323,5.03498,A1,1
RWS01_MONIBAS_0011hrl0107ra,52.3322,5.04358,A1,1
RWS01_MONIBAS_0011hrl0112ra,52.3311,5.0508,A1,1
RWS01_MONIBAS_0011hrl0117ra,52.3289,5.05766,A1,1
RWS01_MONIBAS_0011hrl0119ra,52.3278,5.06105,A1,1
RWS01_MONIBAS_0011hrl0124ra,52.3261,5.06644,A1,1
RWS01_MONIBAS_0011hrl0126ra,52.3253,5.06934,A1,1
RWS01_MONIBAS_0011hrl0129ra,52.3243,5.07324,A1,1
RWS01_MONIBAS_0011hrl0132ra,52.3231,5.07721,A1,1
RWS01_MONIBAS_0011hrl0135ra,52.3221,5.08093,A1,1
RWS01_MONIBAS_0011hrl0139ra,52.3202,5.08733,A1,1
RWS01_MONIBAS_0011hrl0142ra,52.3191,5.09122,A1,1
RWS01_MONIBAS_0011hrl0145ra,52.3181,5.09481,A1,1
RWS01_MONIBAS_0011hrl0149ra,52.3166,5.10008,A1,1
RWS01_MONIBAS_0011hrl0153ra,52.315,5.10559,A1,1
RWS01_MONIBAS_0011hrl0160ra,52.3122,5.11497,A1,1
RWS01_MONIBAS_0011hrl0163ra,52.3107,5.11885,A1,1
RWS01_MONIBAS_0011hrl0168ra,52.3085,5.12514,A1,1
RWS01_MONIBAS_0011hrl0173ra,52.3065,5.13096,A1,1
RWS01_MONIBAS_0011hrl0178ra,52.3059,5.13866,A1,1
RWS01_MONIBAS_0011hrl0183ra,52.306,5.14487,A1,1
RWS01_MONIBAS_0011hrl0189ra,52.3062,5.15377,A1,1
RWS01_MONIBAS_0011hrl0194ra,52.3054,5.16187,A1,1
RWS01_MONIBAS_0011hrl0201ra,52.3023,5.1698,A1,1
RWS01_MONIBAS_0011hrl0205ra,52.2989,5.174,A1,1
RWS01_MONIBAS_0011hrl0211ra,52.2941,5.17827,A1,1
RWS01_MONIBAS_0011hrl0216ra,52.2905,5.18147,A1,1
RWS01_MONIBAS_0011hrl0219ra,52.2878,5.18337,A1,1
RWS01_MONIBAS_0011hrl0223ra,52.2843,5.18392,A1,1
RWS01_MONIBAS_0011hrl0226ra,52.2818,5.18396,A1,1
RWS01_MONIBAS_0011hrl0231ra,52.2779,5.18547,A1,1
RWS01_MONIBAS_0011hrl0234ra,52.2753,5.18853,A1,1
RWS01_MONIBAS_0011hrl0239ra,52.2726,5.1938,A1,1
RWS01_MONIBAS_0011hrl0245ra,52.2691,5.20037,A1,1
RWS01_MONIBAS_0011hrl0250ra,52.266,5.20589,A1,1
RWS01_MONIBAS_0011hrl0255ra,52.2622,5.20883,A1,1
RWS01_MONIBAS_0011hrl0260ra,52.2576,5.209,A1,1
RWS01_MONIBAS_0011hrl0265ra,52.2534,5.21103,A1,1
RWS01_MONIBAS_0011hrl0270ra,52.2492,5.21354,A1,1
RWS01_MONIBAS_0011hrl0273ra,52.2466,5.21573,A1,1
RWS01_MONIBAS_0011hrl0279ra,52.2424,5.22152,A1,1
RWS01_MONIBAS_0011hrl0282ra,52.2404,5.22514,A1,1
RWS01_MONIBAS_0011hrl0282rb,52.2404,5.22514,A1,1
RWS01_MONIBAS_0011hrl0287ra,52.2372,5.23067,A1,1
RWS01_MONIBAS_0011hrl0290ra,52.2357,5.23344,A1,1
RWS01_MONIBAS_0011hrl0293ra,52.2337,5.23663,A1,1
RWS01_MONIBAS_0011hrl0296ra,52.2319,5.2392,A1,1
RWS01_MONIBAS_0011hrl0298ra,52.2303,5.2415,A1,1
RWS01_MONIBAS_0011hrl0309ra,52.2251,5.25377,A1,1
RWS01_MONIBAS_0011hrl0316ra,52.224,5.26436,A1,1
RWS01_MONIBAS_0011hrl0321ra,52.2238,5.27172,A1,1
RWS01_MONIBAS_0011hrl0321rb,52.2238,5.27172,A1,1
RWS01_MONIBAS_0011hrl0327ra,52.2235,5.28059,A1,1
RWS01_MONIBAS_0011hrl0333ra,52.2226,5.28926,A1,1
RWS01_MONIBAS_0011hrl0339ra,52.2209,5.29762,A1,1
RWS01_MONIBAS_0011hrl0347ra,52.2186,5.30854,A1,1
RWS01_MONIBAS_0011hrl0350ra,52.2179,5.31215,A1,1
RWS01_MONIBAS_0011hrl0356ra,52.2162,5.32048,A1,1
RWS01_MONIBAS_0011hrl0361ra,52.215,5.32752,A1,1
RWS01_MONIBAS_0011hrl0367ra,52.2135,5.33596,A1,1
RWS01_MONIBAS_0011hrl0373ra,52.2119,5.34436,A1,1
RWS01_MONIBAS_0011hrl0376ra,52.211,5.34926,A1,1
RWS01_MONIBAS_0011hrl0380ra,52.21,5.355,A1,1
RWS01_MONIBAS_0011hrl0384ra,52.2092,5.35977,A1,1
RWS01_MONIBAS_0011hrl0388ra,52.2084,5.36551,A1,1
RWS01_MONIBAS_0011hrl0390ra,52.208,5.36913,A1,1
RWS01_MONIBAS_0011hrl0392ra,52.2077,5.37194,A1,1
RWS01_MONIBAS_0011hrl0395ra,52.2072,5.37564,A1,1
RWS01_MONIBAS_0011hrl0400ra,52.2054,5.3834,A1,1
RWS01_MONIBAS_0011hrl0405ra,52.2032,5.38938,A1,1
RWS01_MONIBAS_0011hrl0411ra,52.1997,5.39522,A1,1
RWS01_MONIBAS_0011hrl0415ra,52.1967,5.39949,A1,1
RWS01_MONIBAS_0011hrl0419ra,52.1936,5.40369,A1,1
RWS01_MONIBAS_0011hrl0425ra,52.1902,5.40856,A1,1
RWS01_MONIBAS_0011hrl0430ra,52.1867,5.41328,A1,1
RWS01_MONIBAS_0011hrl0435ra,52.1828,5.41855,A1,1
RWS01_MONIBAS_0011hrl0438ra,52.1806,5.42155,A1,1
RWS01_MONIBAS_0011hrl0446ra,52.1755,5.42879,A1,1
RWS01_MONIBAS_0011hrl0452ra,52.1721,5.43531,A1,1
RWS01_MONIBAS_0011hrl0460ra,52.1682,5.44477,A1,1
RWS01_MONIBAS_0011hrl0464ra,52.1674,5.45032,A1,1
RWS01_MONIBAS_0011hrl0469ra,52.1669,5.45821,A1,1
RWS01_MONIBAS_0011hrl0473ra,52.1664,5.46438,A1,1
RWS01_MONIBAS_0011hrl0478ra,52.1659,5.47133,A1,1
RWS01_MONIBAS_0011hrl0482ra,52.1654,5.47743,A1,1
RWS01_MONIBAS_0011hrl0486ra,52.165,5.4834,A1,1
RWS01_MONIBAS_0011hrl0489ra,52.1647,5.48773,A1,1
RWS01_MONIBAS_0011hrl0492ra,52.1644,5.49216,A1,1
RWS01_MONIBAS_0011hrl0495ra,52.1641,5.49644,A1,1
RWS01_MONIBAS_0011hrl0498ra,52.1638,5.50072,A1,1
RWS01_MONIBAS_0011hrl0504ra,52.1632,5.50832,A1,1
RWS01_MONIBAS_0011hrl0507ra,52.1629,5.51268,A1,1
RWS01_MONIBAS_0011hrl0510ra,52.1628,5.51706,A1,1
RWS01_MONIBAS_0011hrl0513ra,52.1629,5.52142,A1,1
RWS01_MONIBAS_0011hrl0516ra,52.163,5.5258,A1,1
RWS01_MONIBAS_0011hrl0519ra,52.1633,5.53017,A1,1
RWS01_MONIBAS_0011hrl0522ra,52.1637,5.53449,A1,1
RWS01_MONIBAS_0011hrl0525ra,52.1642,5.53878,A1,1
RWS01_MONIBAS_0011hrl0529ra,52.165,5.54448,A1,1
RWS01_MONIBAS_0011hrl0532ra,52.1657,5.54946,A1,1
RWS01_MONIBAS_0011hrl0536ra,52.1664,5.5546,A1,1
RWS01_MONIBAS_0011hrl0538ra,52.1669,5.5584,A1,1
RWS01_MONIBAS_0011hrl0541ra,52.1673,5.56236,A1,1
RWS01_MONIBAS_0011hrl0546ra,52.1679,5.56961,A1,1
RWS01_MONIBAS_0011hrl0548ra,52.1681,5.57237,A1,1
RWS01_MONIBAS_0011hrl0552ra,52.1684,5.57836,A1,1
RWS01_MONIBAS_0011hrl0558ra,52.1686,5.5873,A1,1
RWS01_MONIBAS_0011hrl0563ra,52.1688,5.59433,A1,1
RWS01_MONIBAS_0011hrl0568ra,52.1691,5.60146,A1,1
RWS01_MONIBAS_0011hrl0574ra,52.1697,5.61002,A1,1
RWS01_MONIBAS_0011hrl0580ra,52.1705,5.61868,A1,1
RWS01_MONIBAS_0011hrl0586ra,52.1715,5.62727,A1,1
RWS01_MONIBAS_0011hrl0589ra,52.1722,5.6321,A1,1
RWS01_MONIBAS_0011hrl0598ra,52.1752,5.64333,A1,1
RWS01_MONIBAS_0011hrl0608ra,52.1793,5.65621,A1,1
RWS01_MONIBAS_0011hrl0617ra,52.1831,5.66776,A1,1
RWS01_MONIBAS_0011hrl0627ra,52.1873,5.68082,A1,1
RWS01_MONIBAS_0011hrl0636ra,52.1906,5.69332,A1,1
RWS01_MONIBAS_0011hrl0644ra,52.1921,5.7052,A1,1
RWS01_MONIBAS_0011hrl0654ra,52.1933,5.71931,A1,1
RWS01_MONIBAS_0011hrl0658ra,52.1938,5.72459,A1,1
RWS01_MONIBAS_0011hrl0668ra,52.1952,5.73904,A1,1
RWS01_MONIBAS_0011hrl0678ra,52.1967,5.75345,A1,1
RWS01_MONIBAS_0011hrl0688ra,52.1983,5.76787,A1,1
RWS01_MONIBAS_0011hrl0698ra,52.2,5.78227,A1,1
RWS01_MONIBAS_0011hrl0708ra,52.202,5.79652,A1,1
RWS01_MONIBAS_0011hrl0718ra,52.2042,5.81063,A1,1
RWS01_MONIBAS_0011hrl0728ra,52.2019,5.82458,A1,1
RWS01_MONIBAS_0011hrl0738ra,52.1959,5.83541,A1,1
RWS01_MONIBAS_0011hrl0748ra,52.1902,5.84657,A1,1
RWS01_MONIBAS_0011hrl0758ra,52.1876,5.8605,A1,1
RWS01_MONIBAS_0011hrl0768ra,52.1865,5.87501,A1,1
RWS01_MONIBAS_0011hrl0778ra,52.1852,5.88949,A1,1
RWS01_MONIBAS_0011hrl0787ra,52.1837,5.90289,A1,1
RWS01_MONIBAS_0011hrl0793ra,52.1827,5.91149,A1,1
RWS01_MONIBAS_0011hrl0803ra,52.1807,5.92572,A1,1
RWS01_MONIBAS_0011hrl0810ra,52.1791,5.93611,A1,1
RWS01_MONIBAS_0011hrl0816ra,52.1771,5.94417,A1,1
RWS01_MONIBAS_0011hrl0819ra,52.1756,5.94814,A1,1
RWS01_MONIBAS_0011hrl0823ra,52.1742,5.95225,A1,1
RWS01_MONIBAS_0011hrl0829ra,52.1728,5.96067,A1,1
RWS01_MONIBAS_0011hrl0834ra,52.1729,5.96896,A1,1
RWS01_MONIBAS_0011hrl0840ra,52.1747,5.97759,A1,1
RWS01_MONIBAS_0011hrl0846ra,52.1773,5.98381,A1,1
RWS01_MONIBAS_0011hrl0851ra,52.1798,5.98998,A1,1
RWS01_MONIBAS_0011hrl0856ra,52.1814,5.99657,A1,1
RWS01_MONIBAS_0011hrl0861ra,52.183,6.00386,A1,1
RWS01_MONIBAS_0011hrl0864ra,52.1841,6.00846,A1,1
RWS01_MONIBAS_0011hrl0868ra,52.1851,6.01308,A1,1
RWS01_MONIBAS_0011hrl0873ra,52.1869,6.01989,A1,1
RWS01_MONIBAS_0011hrl0877ra,52.1891,6.02557,A1,1
RWS01_MONIBAS_0011hrl0884ra,52.1927,6.03433,A1,1
RWS01_MONIBAS_0011hrl0884rb,52.1927,6.03433,A1,1
RWS01_MONIBAS_0011hrl0889ra,52.1948,6.0395,A1,1
RWS01_MONIBAS_0011hrl0893ra,52.197,6.04496,A1,1
RWS01_MONIBAS_0011hrl0899ra,52.1993,6.05183,A1,1
RWS01_MONIBAS_0011hrl0903ra,52.2006,6.05727,A1,1
RWS01_MONIBAS_0011hrl0909ra,52.2024,6.06554,A1,1
RWS01_MONIBAS_0011hrl0914ra,52.2043,6.07373,A1,1
RWS01_MONIBAS_0011hrl0920ra,52.2059,6.08109,A1,1
RWS01_MONIBAS_0011hrl0923ra,52.2068,6.08509,A1,1
RWS01_MONIBAS_0011hrl0929ra,52.2087,6.09342,A1,1
RWS01_MONIBAS_0011hrl0935ra,52.2115,6.10178,A1,1
RWS01_MONIBAS_0011hrl0940ra,52.2137,6.10701,A1,1
RWS01_MONIBAS_0011hrl0943ra,52.215,6.11068,A1,1
RWS01_MONIBAS_0011hrl0950ra,52.217,6.12157,A1,1
RWS01_MONIBAS_0011hrl0955ra,52.2186,6.12791,A1,1
RWS01_MONIBAS_0011hrl0961ra,52.2215,6.1356,A1,1
RWS01_MONIBAS_0011hrl0964ra,52.2229,6.13908,A1,1
RWS01_MONIBAS_0011hrl0967ra,52.2243,6.14257,A1,1
RWS01_MONIBAS_0011hrl0973ra,52.2272,6.1498,A1,1
RWS01_MONIBAS_0011hrl0978ra,52.2291,6.1563,A1,1
RWS01_MONIBAS_0011hrl0984ra,52.2311,6.16456,A1,1
RWS01_MONIBAS_0011hrl0987ra,52.232,6.16863,A1,1
RWS01_MONIBAS_0011hrl1040ra,52.233,6.17259,A1,1
RWS01_MONIBAS_0011hrl1045ra,52.2343,6.18048,A1,1
RWS01_MONIBAS_0011hrl1050ra,52.2348,6.18778,A1,1
RWS01_MONIBAS_0011hrl1055ra,52.2351,6.19405,A1,1
RWS01_MONIBAS_0011hrl1060ra,52.2356,6.20204,A1,1
RWS01_MONIBAS_0011hrl1064ra,52.2361,6.20825,A1,1
RWS01_MONIBAS_0011hrl1070ra,52.2371,6.2168,A1,1
RWS01_MONIBAS_0011hrl1075ra,52.2376,6.22296,A1,1
RWS01_MONIBAS_0011hrl1078ra,52.2378,6.22734,A1,1
RWS01_MONIBAS_0011hrl1080ra,52.238,6.23152,A1,1
