x,y,roadname,direction,meter,offset,mark
129319.554,394522.022,A58,R,30.890,3.968,SENSOR
128641.473,394471.218,A58,R,31.570,3.624,SENSOR
128062.407,394443.143,A58,R,32.150,2.460,SENSOR
127482.073,394577.139,A58,R,32.750,2.032,SENSOR
127008.026,394907.047,A58,R,33.330,18.064,SENSOR
126993.176,394920.443,A58,R,33.350,6.193,SENSOR
126517.871,395348.997,A58,R,33.990,5.331,SENSOR
126105.096,395645.911,A58,R,34.500,3.653;3.653;3.653,SENSOR;SENSOR;SENSOR
125533.736,395820.685,A58,R,35.100,3.533,SENSOR
125247.849,395869.182,A58,R,35.390,9.993,EXIT
124842.519,395930.817,A58,R,35.800,2.938;2.938;2.938,SENSOR;SENSOR;SENSOR
124475.972,395981.246,A58,R,36.170,12.629,ENTER
124188.391,396018.410,A58,R,36.460,3.661,SENSOR
123740.675,396063.568,A58,R,36.910,17.897;17.897;17.897,SENSOR;SENSOR;SENSOR
123720.727,396065.000,A58,R,36.930,4.514;4.514;4.514,SENSOR;SENSOR;SENSOR
123012.240,396108.977,A58,R,37.640,4.213,SENSOR
122361.092,396214.206,A58,R,38.300,3.852,SENSOR
121733.389,396381.644,A58,R,38.950,1.502,SENSOR
121062.204,396580.291,A58,R,39.650,6.038,SENSOR
120414.959,396752.599,A58,R,40.320,6.118,SENSOR
119879.324,396814.072,A58,R,40.860,5.187,SENSOR
119271.995,396768.364,A58,R,41.470,5.637,SENSOR
118592.519,396648.475,A58,R,42.160,3.113;3.113;3.113,SENSOR;SENSOR;SENSOR
118064.730,396534.387,A58,R,42.700,6.367,SENSOR
117899.529,396494.311,A58,R,42.870,19.550,SENSOR
117764.207,396458.448,A58,R,43.010,10.399,EXIT
117542.583,396396.944,A58,R,43.240,2.853;2.853;2.853,SENSOR;SENSOR;SENSOR
117475.110,396378.306,A58,R,43.310,11.511,ENTER
117224.069,396310.706,A58,R,43.570,2.638;2.638,SENSOR;SENSOR
116913.820,396198.741,A58,R,43.900,18.116;18.116;18.116,SENSOR;SENSOR;SENSOR
116608.728,396049.482,A58,R,44.240,5.438,SENSOR
116600.030,396044.550,A58,R,44.250,17.722,SENSOR
116317.136,395874.688,A58,R,44.580,4.710;4.710;4.710,SENSOR;SENSOR;SENSOR
115870.373,395589.578,A58,R,45.110,16.516;16.516;16.516,SENSOR;SENSOR;SENSOR
115853.558,395578.751,A58,R,45.130,4.124,SENSOR
115344.429,395242.797,A58,R,45.740,18.023,SENSOR
115327.799,395231.686,A58,R,45.760,5.860,SENSOR
114875.283,394919.116,A58,R,46.310,1.083;1.083;1.083,SENSOR;SENSOR;SENSOR
114374.797,394570.505,A58,R,46.920,4.456,SENSOR
114123.545,394406.593,A58,R,47.220,11.054,EXIT
113979.299,394316.703,A58,R,47.390,18.257;18.257;18.257,SENSOR;SENSOR;SENSOR
113970.650,394311.683,A58,R,47.400,2.049;2.049;2.049,SENSOR;SENSOR;SENSOR
113692.971,394152.677,A58,R,47.720,2.043,ENTER
113438.314,394013.934,A58,R,48.010,3.494,SENSOR
112934.889,393746.677,A58,R,48.580,3.431;3.431;3.431,SENSOR;SENSOR;SENSOR
112478.209,393519.729,A58,R,49.090,17.479,SENSOR
112469.088,393515.630,A58,R,49.100,4.047,SENSOR
111943.749,393323.949,A58,R,49.660,5.936;5.936;5.936;5.936,SENSOR;SENSOR;SENSOR;SENSOR
111381.890,393233.837,A58,R,50.230,4.914,SENSOR
111052.005,393228.899,A58,R,50.560,3.647;3.647,SENSOR;SENSOR
110463.399,393252.951,A58,R,51.150,5.696;5.696,SENSOR;SENSOR
110252.583,393271.551,A58,R,51.780,,END
108488.944,399120.945,A58,R,51.780,,BEGIN
108299.364,398943.394,A58,R,52.040,9.642,SENSOR
108212.712,398875.656,A58,R,52.150,13.832,ENTER
107337.416,398604.594,A58,R,53.080,6.835,SENSOR
107067.440,398601.795,A58,R,53.350,12.037;12.037;12.037,SENSOR;SENSOR;SENSOR
106857.518,398596.195,A58,R,53.560,14.730,SENSOR
106498.059,398577.258,A58,R,53.920,8.001,SENSOR
105602.496,398493.467,A58,R,54.820,11.528,SENSOR
105024.646,398235.610,A58,R,55.460,12.764,EXIT
104771.717,397967.287,A58,R,55.830,17.852,SENSOR
104628.238,397715.615,A58,R,56.120,11.342,SENSOR
104609.468,397680.292,A58,R,56.160,15.758,ENTER
104291.434,397102.654,A58,R,56.820,12.186,SENSOR
103472.088,396576.249,A58,R,57.810,5.946,SENSOR
103273.066,396509.237,A58,R,58.020,17.165,SENSOR
102513.046,396296.240,A58,R,58.810,3.494,SENSOR
101488.119,396381.442,A58,R,59.850,12.824,EXIT
101063.523,396580.309,A58,R,60.320,12.964;1.728,SENSOR;SENSOR
100915.183,396681.931,A58,R,60.500,17.312,SENSOR
100907.379,396688.184,A58,R,60.510,14.966,ENTER
100246.642,397126.006,A58,R,61.310,9.920,SENSOR
99368.562,397030.967,A58,R,62.210,10.633,EXIT
99273.233,397000.760,A58,R,62.310,10.206;2.884,SENSOR;SENSOR
99149.275,396961.588,A58,R,62.440,19.617,SENSOR
99072.604,396938.762,A58,R,62.520,12.415,ENTER
97553.269,396470.067,A58,R,64.110,7.437,SENSOR
96827.675,396243.987,A58,R,64.870,6.677,EXIT
96694.440,396200.993,A58,R,65.010,15.724;5.506,SENSOR;SENSOR
96503.317,396142.116,A58,R,65.210,11.282,ENTER
95519.924,395835.893,A58,R,66.240,8.930,SENSOR
94650.409,395567.544,A58,R,67.150,9.472,EXIT
94497.993,395518.867,A58,R,67.310,3.269,SENSOR
94402.581,395488.930,A58,R,67.410,13.674,SENSOR
94306.889,395459.897,A58,R,67.510,15.842;11.792,SENSOR;ENTER
93256.856,395132.157,A58,R,68.610,15.786,SENSOR
92524.037,394812.035,A58,R,69.420,12.577,EXIT
92476.572,394760.623,A58,R,69.490,15.135,SENSOR
92113.343,394271.184,A58,R,70.100,14.933;0.671,SENSOR;SENSOR
92107.923,394262.780,A58,R,70.110,12.919,SENSOR
92086.244,394229.164,A58,R,70.150,10.049,ENTER
91757.778,393739.072,A58,R,70.740,3.675,SENSOR
91501.551,393422.244,A58,R,71.150,3.241,SENSOR
91432.841,393381.477,A58,R,71.230,7.570,EXIT
