x	y	roadname	direction	meter	mark
133607.942	445917.012	A2	R	40.400	LUS
133715.357	445594.479	A2	R	40.740	LUS
133769.464	445433.320	A2	R	40.910	LUS
133908.161	445015.758	A2	R	41.350	LUS
133962.274	444865.289	A2	R	41.510	AFRIT
134038.282	444680.295	A2	R	41.710	LUS
134243.222	444316.624	A2	R	42.130	LUS
134282.966	444271.675	A2	R	42.190	OPRIT
134502.011	444067.146	A2	R	42.490	LUS
134698.223	443896.557	A2	R	42.750	LUS
134879.343	443739.091	A2	R	42.990	LUS, LUS
135250.597	443349.350	A2	R	43.530	LUS
135619.304	442851.203	A2	R	44.150	LUS
135916.163	442376.416	A2	R	44.710	LUS
136089.599	442095.673	A2	R	45.040	LUS
136168.509	441968.106	A2	R	45.190	LUS
136278.613	441789.285	A2	R	45.400	LUS
136541.343	441363.876	A2	R	45.900	LUS
136742.613	441041.561	A2	R	46.280	LUS
136993.904	440718.864	A2	R	46.690	LUS
137336.143	440382.305	A2	R	47.170	LUS
137759.681	439971.558	A2	R	47.760	LUS
138207.417	439542.703	A2	R	48.380	LUS
138458.483	439298.860	A2	R	48.730	AFRIT
138574.403	439188.575	A2	R	48.890	LUS
138683.077	439085.183	A2	R	49.040	OPRIT
138907.297	438871.115	A2	R	49.350	LUS
139156.811	438625.777	A2	R	49.700	LUS
139357.554	438351.828	A2	R	50.040	LUS, LUS, LUS, LUS, LUS, LUS
139495.568	438131.483	A2	R	50.300	AFRIT
139622.711	437927.927	A2	R	50.540	LUS, LUS, LUS, LUS, LUS
139654.496	437877.038	A2	R	50.600	OPRIT
139754.911	437715.742	A2	R	50.790	LUS
139993.564	437334.239	A2	R	51.240	LUS
140199.677	437003.159	A2	R	51.630	LUS, LUS, LUS, LUS, LUS
140399.276	436645.297	A2	R	52.040	LUS
140494.132	436446.806	A2	R	52.260	LUS
140713.783	435964.465	A2	R	52.790	LUS
140921.368	435509.593	A2	R	53.290	LUS
141029.766	435273.270	A2	R	53.550	LUS
141186.664	434949.423	A2	R	53.910	LUS
141328.640	434696.586	A2	R	54.200	LUS
141443.438	434508.917	A2	R	54.420	AFRIT
141611.920	434248.698	A2	R	54.730	LUS, LUS, LUS, LUS, LUS
141693.488	434122.816	A2	R	54.880	OPRIT
141809.394	433924.185	A2	R	55.110	LUS
142014.562	433546.294	A2	R	55.540	LUS
142213.698	433176.505	A2	R	55.960	LUS
142421.378	432788.601	A2	R	56.400	LUS, LUS, LUS, LUS, LUS
142598.779	432430.127	A2	R	56.800	LUS
142753.250	432127.426	A2	R	57.140	AFRIT
142817.856	432014.616	A2	R	57.270	LUS, LUS, LUS, LUS, LUS
142920.443	431854.726	A2	R	57.460	OPRIT
143108.723	431583.711	A2	R	57.790	LUS, LUS, LUS, LUS, LUS, LUS
143322.537	431222.442	A2	R	58.210	LUS
143569.562	430753.541	A2	R	58.740	LUS
143692.020	430524.186	A2	R	59.000	LUS
143696.712	430515.355	A2	R	59.010	LUS
143867.423	430187.095	A2	R	59.380	LUS
143881.335	430160.515	A2	R	59.410	LUS
144047.882	429841.365	A2	R	59.770	LUS
144070.766	429796.909	A2	R	59.820	LUS, LUS
144236.965	429477.572	A2	R	60.180	LUS
144518.941	429017.158	A2	R	60.720	LUS
144524.268	429008.695	A2	R	60.730	LUS, LUS, LUS, LUS, LUS
144738.815	428659.315	A2	R	61.140	LUS
144856.237	428473.288	A2	R	61.360	LUS
145048.285	428168.796	A2	R	61.720	LUS
145155.142	427999.737	A2	R	61.920	LUS
145369.648	427650.327	A2	R	62.330	LUS
145445.640	427521.025	A2	R	62.480	LUS
145563.057	427311.717	A2	R	62.720	LUS
145567.853	427302.943	A2	R	62.730	AFRIT
145639.798	427171.322	A2	R	62.880	LUS
145683.425	427092.604	A2	R	62.970	OPRIT
145746.595	426978.984	A2	R	63.100	LUS
145905.545	426689.787	A2	R	63.430	LUS
145929.562	426645.933	A2	R	63.480	LUS, LUS, LUS
146089.136	426312.491	A2	R	63.850	LUS
146096.677	426293.967	A2	R	63.870	LUS
146206.358	425757.869	A2	R	64.420	LUS, LUS, LUS
146207.506	425747.935	A2	R	64.430	LUS
146255.689	425290.592	A2	R	64.890	LUS
146264.153	425070.819	A2	R	65.110	LUS
146227.864	424783.389	A2	R	65.400	LUS
146203.891	424676.033	A2	R	65.510	LUS, LUS, LUS
146142.956	424201.147	A2	R	65.990	LUS, LUS, LUS
146142.618	424191.153	A2	R	66.000	LUS
146120.083	423601.587	A2	R	66.590	LUS
146119.731	423591.593	A2	R	66.600	LUS
146107.454	423221.799	A2	R	66.970	AFRIT
146105.916	423181.828	A2	R	67.010	LUS
146105.532	423171.835	A2	R	67.020	LUS
146095.540	422912.028	A2	R	67.280	OPRIT
146090.904	422802.126	A2	R	67.390	LUS, LUS
146074.448	422432.493	A2	R	67.760	LUS, LUS
146063.909	422162.704	A2	R	68.030	LUS
146062.982	422132.719	A2	R	68.060	LUS
146079.342	421553.482	A2	R	68.640	LUS
146094.012	421343.995	A2	R	68.850	LUS, LUS
146121.839	420975.111	A2	R	69.220	LUS
146126.183	420945.427	A2	R	69.250	LUS
146203.887	420615.273	A2	R	69.590	LUS, LUS
146477.345	420142.123	A2	R	70.140	LUS
146484.322	420134.959	A2	R	70.150	LUS
146897.740	419791.005	A2	R	70.690	LUS
146922.720	419774.392	A2	R	70.720	LUS
147344.583	419409.051	A2	R	71.280	LUS
147363.498	419385.765	A2	R	71.310	LUS
147586.832	419103.476	A2	R	71.670	LUS, AFRIT
147701.146	418951.718	A2	R	71.860	LUS
147718.954	418927.575	A2	R	71.890	LUS
147794.927	418822.088	A2	R	72.020	OPRIT
147911.456	418659.544	A2	R	72.220	LUS
148039.165	418480.413	A2	R	72.440	LUS
148192.686	418258.309	A2	R	72.710	LUS
148352.488	418028.390	A2	R	72.990	LUS
148700.686	417515.418	A2	R	73.610	LUS
148890.397	417233.276	A2	R	73.950	LUS
149159.347	416835.714	A2	R	74.430	LUS
149176.041	416810.788	A2	R	74.460	LUS
149382.451	416503.713	A2	R	74.830	LUS, LUS, LUS, LUS
149393.712	416487.186	A2	R	74.850	LUS, LUS, LUS, LUS
149741.371	416010.671	A2	R	75.440	LUS, LUS
149931.463	415778.639	A2	R	75.740	LUS, LUS
150253.199	415422.520	A2	R	76.220	LUS
151240.333	414532.740	A2	R	77.550	LUS
151313.522	414464.599	A2	R	77.650	LUS, LUS, LUS, LUS
151595.327	414140.816	A2	R	78.080	AFRIT
151710.486	413977.341	A2	R	78.280	OPRIT
152544.704	412230.029	A2	R	80.240	LUS
152511.087	411743.089	A2	R	80.730	LUS
152341.829	410940.890	A2	R	81.550	AFRIT
152304.097	410754.675	A2	R	81.740	OPRIT
152137.851	410130.126	A2	R	82.390	LUS, LUS, LUS
151231.770	409623.723	A2	R	83.470	AFRIT
151014.794	409522.119	A2	R	83.710	OPRIT
150840.709	409423.870	A2	R	83.910	LUS
150823.615	409413.489	A2	R	83.930	LUS, LUS, LUS, LUS, LUS, LUS
150593.448	409272.350	A2	R	84.200	LUS, LUS
150275.470	409105.045	A2	R	84.560	LUS, LUS
149708.802	408910.248	A2	R	85.160	LUS, LUS, LUS, LUS
149690.489	408902.206	A2	R	85.180	LUS, LUS, LUS, LUS
149343.024	408640.923	A2	R	85.620	LUS
149336.360	408633.467	A2	R	85.630	LUS
149154.001	408260.782	A2	R	86.050	LUS, LUS
149129.243	407982.485	A2	R	86.330	LUS
149135.315	407742.606	A2	R	86.570	LUS
149144.283	407622.941	A2	R	86.690	LUS
149170.453	407434.945	A2	R	86.880	LUS
149189.052	407326.528	A2	R	86.990	LUS
149239.731	407164.312	A2	R	87.160	LUS
149245.782	407145.249	A2	R	87.180	AFRIT
149349.965	406842.705	A2	R	87.500	LUS
149353.267	406833.267	A2	R	87.510	LUS
149474.476	406494.290	A2	R	87.870	OPRIT
149497.767	406428.278	A2	R	87.940	LUS, LUS
149623.328	406059.065	A2	R	88.330	LUS
149626.440	406049.562	A2	R	88.340	LUS
149722.858	405470.381	A2	R	88.930	LUS
149723.424	405460.397	A2	R	88.940	LUS
149796.222	404875.332	A2	R	89.530	LUS
149797.896	404865.474	A2	R	89.540	LUS
149886.921	404383.650	A2	R	90.030	LUS
149888.839	404373.835	A2	R	90.040	LUS
149984.117	403893.191	A2	R	90.530	LUS
149986.108	403883.391	A2	R	90.540	LUS
150118.172	403257.171	A2	R	91.180	LUS
150122.233	403237.587	A2	R	91.200	LUS
150194.766	402915.731	A2	R	91.530	AFRIT
150270.669	402709.402	A2	R	91.750	LUS
150274.265	402700.071	A2	R	91.760	LUS
150300.661	402646.337	A2	R	91.820	OPRIT
150693.985	402173.379	A2	R	92.440	LUS
150701.415	402166.687	A2	R	92.450	LUS
151049.961	401822.705	A2	R	92.940	LUS, LUS
151456.145	401328.853	A2	R	93.580	LUS
151462.167	401320.870	A2	R	93.590	LUS
151838.381	400828.068	A2	R	94.210	LUS
151850.588	400812.226	A2	R	94.230	LUS
152294.444	400258.109	A2	R	94.940	LUS
152300.729	400250.331	A2	R	94.950	LUS
152688.364	399670.296	A2	R	95.650	LUS, LUS
152832.346	399121.536	A2	R	96.220	LUS
152833.819	399111.645	A2	R	96.230	LUS
152841.305	398791.853	A2	R	96.550	AFRIT
152844.742	398581.882	A2	R	96.760	LUS
152844.856	398571.883	A2	R	96.770	LUS
152847.591	398331.898	A2	R	97.010	OPRIT
152852.466	397991.934	A2	R	97.350	LUS
152854.315	397871.948	A2	R	97.470	LUS
152859.091	397561.985	A2	R	97.780	LUS, LUS
152870.998	397212.295	A2	R	98.130	LUS
152872.026	397202.348	A2	R	98.140	LUS
153041.770	396516.760	A2	R	98.850	LUS
153271.783	396107.418	A2	R	99.320	LUS
153314.040	396039.489	A2	R	99.400	LUS
153473.132	395785.148	A2	R	99.700	LUS
153775.909	395302.213	A2	R	100.270	LUS
154089.395	394802.387	A2	R	100.860	LUS
154403.071	394302.680	A2	R	101.450	LUS
154408.388	394294.210	A2	R	101.460	LUS
154722.064	393794.503	A2	R	102.050	LUS, LUS
155024.647	393323.365	A2	R	102.610	LUS
155030.335	393315.141	A2	R	102.620	LUS
155273.358	392960.418	A2	R	103.050	AFRIT
155317.580	392893.752	A2	R	103.130	LUS
155323.107	392885.419	A2	R	103.140	LUS
155455.774	392685.419	A2	R	103.380	OPRIT
155521.709	392585.161	A2	R	103.500	LUS
155543.204	392551.428	A2	R	103.540	LUS
155746.289	392230.249	A2	R	103.920	LUS, LUS
155964.986	391883.449	A2	R	104.330	LUS
155970.351	391875.010	A2	R	104.340	LUS
156180.445	391546.455	A2	R	104.730	LUS, LUS
156445.737	391183.232	A2	R	105.180	LUS
156451.871	391175.334	A2	R	105.190	LUS
156517.359	391099.782	A2	R	105.290	AFRIT
156650.849	390950.851	A2	R	105.490	LUS, LUS
156923.013	390644.220	A2	R	105.900	LUS
156935.907	390628.942	A2	R	105.920	LUS
157052.056	390478.578	A2	R	106.110	OPRIT
157263.286	390199.520	A2	R	106.460	LUS
157280.799	390175.162	A2	R	106.490	LUS
157455.949	389931.599	A2	R	106.790	LUS
157631.165	389688.086	A2	R	107.090	LUS
157926.857	389364.882	A2	R	107.530	LUS
157274.059	388612.108	A2	R	108.660	LUS, LUS, LUS, LUS, LUS, LUS
157060.301	388482.948	A2	R	108.910	LUS
