x	y	roadname	direction	meter	mark
128653.816	394446.987	A58	L	106.350	LOOP
129281.935	394495.574	A58	L	106.980	LOOP
129859.700	394546.388	A58	L	107.560	LOOP, LOOP, LOOP
130098.615	394569.173	A58	L	107.800	LOOP
130727.400	394602.000	A58	L	108.430	LOOP, LOOP, LOOP
131256.091	394568.201	A58	L	108.960	LOOP
131454.393	394542.200	A58	L	109.160	LOOP
131533.411	394529.742	A58	L	109.240	AFRIT
131711.034	394500.590	A58	L	109.420	LOOP, LOOP, LOOP
131740.639	394495.738	A58	L	109.450	OPRIT
132046.806	394447.140	A58	L	109.760	LOOP
132540.659	394368.979	A58	L	110.260	LOOP
132896.312	394313.204	A58	L	110.620	LOOP, LOOP, LOOP, LOOP
133379.488	394231.807	A58	L	111.110	LOOP
133922.786	394146.207	A58	L	111.660	LOOP
134120.366	394115.193	A58	L	111.860	LOOP
134625.971	394052.187	A58	L	112.370	LOOP
134795.156	394063.992	A58	L	112.540	LOOP
134914.263	394078.022	A58	L	112.660	LOOP
135209.252	394172.237	A58	L	112.970	LOOP, LOOP
135523.476	394366.107	A58	L	113.340	LOOP, LOOP, LOOP
135722.868	394576.155	A58	L	113.630	AFRIT
135857.882	394736.997	A58	L	113.840	LOOP, LOOP, LOOP
135889.953	394775.356	A58	L	113.890	OPRIT
135948.135	394844.021	A58	L	113.980	LOOP, LOOP, LOOP, LOOP
136307.725	395273.315	A58	L	114.540	LOOP
136436.337	395426.413	A58	L	114.740	LOOP, LOOP
136456.536	395448.595	A58	L	114.770	LOOP
136876.765	395760.024	A58	L	115.300	LOOP, LOOP, LOOP
137492.545	395803.060	A58	L	115.930	LOOP
138064.877	395521.041	A58	L	116.570	LOOP, LOOP, LOOP
138073.440	395515.875	A58	L	116.580	LOOP, LOOP, LOOP, LOOP
138587.166	395205.900	A58	L	117.180	LOOP
138595.741	395200.755	A58	L	117.190	LOOP
139024.243	394943.114	A58	L	117.690	LOOP
139032.845	394938.014	A58	L	117.700	LOOP
139554.901	394622.521	A58	L	118.310	LOOP, LOOP, LOOP
140096.701	394301.133	A58	L	118.940	LOOP
140105.438	394296.266	A58	L	118.950	LOOP
140367.505	394172.416	A58	L	119.240	AFRIT
140549.491	394089.482	A58	L	119.440	LOOP, LOOP, LOOP
140567.653	394081.108	A58	L	119.460	LOOP, LOOP, LOOP
140749.176	393997.147	A58	L	119.660	OPRIT
140975.625	393891.234	A58	L	119.910	LOOP
140984.711	393887.059	A58	L	119.920	LOOP
141556.713	393623.028	A58	L	120.550	LOOP, LOOP, LOOP
141565.785	393618.819	A58	L	120.560	LOOP, LOOP, LOOP
142056.509	393393.539	A58	L	121.100	LOOP
142065.730	393389.669	A58	L	121.110	LOOP
142616.706	393152.130	A58	L	121.710	LOOP
142625.887	393148.167	A58	L	121.720	LOOP
143204.278	392898.439	A58	L	122.350	LOOP
143213.458	392894.474	A58	L	122.360	LOOP
143709.184	392680.335	A58	L	122.900	LOOP
143718.364	392676.369	A58	L	122.910	LOOP
144260.006	392442.438	A58	L	123.500	LOOP
144269.188	392438.476	A58	L	123.510	LOOP
