x,y,roadname,direction,meter,offset,mark
176844.740,307286.242,A2,L,0.000,,BEGIN
177015.702,307613.752,A2,L,0.370,8.362;8.362,SENSOR;SENSOR
177808.791,308329.631,A2,L,1.450,6.319;6.319,SENSOR;SENSOR
178537.067,308817.497,A2,L,2.330,13.237,EXIT
178558.286,308838.705,A2,L,2.360,19.560,SENSOR
178635.510,308917.038,A2,L,2.470,4.514,SENSOR
179042.804,309598.451,A2,L,3.270,10.516;3.604,SENSOR;SENSOR
179147.700,310524.145,A2,L,4.210,8.968;8.968,SENSOR;SENSOR
178934.043,311407.721,A2,L,5.120,3.160,SENSOR
178910.868,311504.989,A2,L,5.220,11.595,ENTER
178896.407,311573.479,A2,L,5.290,3.379,SENSOR
178671.317,313616.893,A2,L,7.350,9.627,EXIT
178654.918,313684.940,A2,L,7.420,14.898,SENSOR
178586.617,313956.475,A2,L,7.700,1.950,SENSOR
178524.056,314198.518,A2,L,7.950,10.253,ENTER
178336.624,315970.397,A2,L,9.740,2.722;13.474,SENSOR;SENSOR
178338.675,316060.372,A2,L,9.830,14.710,SENSOR
178338.967,316070.368,A2,L,9.840,12.599,ENTER
178305.456,316758.927,A2,L,10.530,10.730,EXIT
178273.703,316976.599,A2,L,10.750,9.351,ENTER
178207.974,317174.570,A2,L,10.960,15.841,EXIT
178148.448,317266.798,A2,L,11.070,4.518,SENSOR
178142.632,317274.933,A2,L,11.080,15.221;9.446,SENSOR;SENSOR
178130.784,317291.018,A2,L,11.100,16.567;9.469,SENSOR;ENTER
177811.882,318573.028,A2,L,12.500,3.408;14.561,SENSOR;SENSOR
178123.369,319049.491,A2,L,13.070,1.340,SENSOR
178872.971,319820.245,A2,L,14.150,5.341,SENSOR
179399.429,320710.012,A2,L,15.210,16.016;16.016,SENSOR;SENSOR
180004.200,322326.819,A2,L,16.950,3.169,SENSOR
180093.200,322434.889,A2,L,17.090,8.865,SENSOR
180112.365,322457.969,A2,L,17.120,8.861,ENTER
182003.444,325493.959,A2,L,20.730,9.791;9.791,SENSOR;SENSOR
182332.672,326331.546,A2,L,21.630,3.221,SENSOR
182339.785,326350.238,A2,L,21.650,16.552,SENSOR
182350.455,326378.276,A2,L,21.680,12.929,EXIT
182390.832,326480.597,A2,L,21.790,1.078;17.310,SENSOR;SENSOR
182462.690,326634.608,A2,L,21.960,12.807,ENTER
182512.095,326721.476,A2,L,22.060,14.013;14.013;14.013;14.013,SENSOR;SENSOR;SENSOR;SENSOR
182941.096,327477.987,A2,L,22.930,11.013,SENSOR
182945.286,327487.067,A2,L,22.940,3.482,SENSOR
183140.756,328053.179,A2,L,23.540,0.915;12.460,SENSOR;SENSOR
183201.184,328387.565,A2,L,23.880,1.188,SENSOR
183219.629,328646.808,A2,L,24.140,4.347;13.735,SENSOR;SENSOR
183207.663,328966.254,A2,L,24.460,0.529,EXIT
183201.142,329015.790,A2,L,24.510,7.895,SENSOR
183167.436,329182.395,A2,L,24.680,4.936;13.745;4.936;4.936;13.745;13.745,SENSOR;SENSOR;SENSOR;SENSOR;SENSOR;SENSOR
183098.720,329453.800,A2,L,24.960,17.417,SENSOR
183096.474,329463.544,A2,L,24.970,4.923,SENSOR
183049.698,329880.335,A2,L,25.390,7.828;4.947;4.947;4.947,SENSOR;SENSOR;SENSOR;SENSOR
183049.649,329890.333,A2,L,25.400,21.520,ENTER
183056.418,330080.144,A2,L,25.590,14.089,SENSOR
183059.301,330120.040,A2,L,25.630,14.896,SENSOR
183079.680,330399.297,A2,L,25.910,12.679,SENSOR
183081.135,330419.244,A2,L,25.930,2.655,SENSOR
183089.869,330538.926,A2,L,26.050,13.543;13.543;13.543,SENSOR;SENSOR;SENSOR
183119.147,330937.853,A2,L,26.450,16.396;4.152,SENSOR;SENSOR
183120.660,330957.795,A2,L,26.470,11.891,SENSOR
183128.881,331067.488,A2,L,26.580,15.256;0.299,SENSOR;SENSOR
183139.464,331447.025,A2,L,26.960,15.038;14.339;15.038;14.339;14.339,SENSOR;SENSOR;SENSOR;SENSOR;SENSOR
183136.513,331496.907,A2,L,27.010,5.767;5.767;5.767,SENSOR;SENSOR;SENSOR
183109.458,331664.512,A2,L,27.180,16.827;16.827;16.827,SENSOR;SENSOR;SENSOR
183017.506,331970.626,A2,L,27.500,2.834;16.921,SENSOR;SENSOR
182819.411,332471.657,A2,L,28.040,4.418;4.418;4.418;4.418;4.418,SENSOR;SENSOR;SENSOR;SENSOR;SENSOR
182778.664,332808.275,A2,L,28.380,18.738;18.738;18.738;18.738;18.738,SENSOR;SENSOR;SENSOR;SENSOR;SENSOR
182779.465,332848.245,A2,L,28.420,3.064;3.064;3.064;3.064;3.064,SENSOR;SENSOR;SENSOR;SENSOR;SENSOR
182807.144,333106.496,A2,L,28.680,8.900,EXIT
182820.093,333165.056,A2,L,28.740,14.986;14.986;14.986,SENSOR;SENSOR;SENSOR
182839.815,333242.565,A2,L,28.820,14.228;14.228;14.228;14.228,SENSOR;SENSOR;SENSOR;SENSOR
182842.581,333252.175,A2,L,28.830,5.209;5.209;5.209;5.209,SENSOR;SENSOR;SENSOR;SENSOR
182957.860,333635.197,A2,L,29.230,15.300,SENSOR
182993.154,333749.889,A2,L,29.350,2.284,SENSOR
183016.670,333826.355,A2,L,29.430,9.112,ENTER
183091.520,334075.346,A2,L,29.690,12.176,SENSOR
183169.907,334333.717,A2,L,29.960,4.981,SENSOR
183268.372,334659.146,A2,L,30.300,3.126,SENSOR
183271.417,334668.671,A2,L,30.310,10.869,SENSOR
183422.598,335049.277,A2,L,30.720,12.037,SENSOR
183427.282,335058.112,A2,L,30.730,5.064,SENSOR
183574.806,335295.734,A2,L,31.010,17.709,SENSOR
183580.666,335303.837,A2,L,31.020,5.410,SENSOR
183815.590,335627.580,A2,L,31.420,4.849,SENSOR
183821.502,335635.645,A2,L,31.430,17.217,SENSOR
184111.217,336030.823,A2,L,31.920,4.791;13.694,SENSOR;SENSOR
184405.621,336434.948,A2,L,32.420,2.079;16.493,SENSOR;SENSOR
184634.800,336750.506,A2,L,32.810,11.913;11.913;11.913;11.913,SENSOR;SENSOR;SENSOR;SENSOR
184646.556,336766.686,A2,L,32.830,5.243;5.243;5.243;5.243,SENSOR;SENSOR;SENSOR;SENSOR
184875.803,337082.195,A2,L,33.220,3.816;8.099,SENSOR;SENSOR
185110.798,337405.888,A2,L,33.620,9.947;9.947;9.947;9.947,SENSOR;SENSOR;SENSOR;SENSOR
185122.534,337422.083,A2,L,33.640,4.998;4.998;4.998;4.998,SENSOR;SENSOR;SENSOR;SENSOR
185422.204,337846.817,A2,L,34.160,10.479,SENSOR
185432.715,337863.832,A2,L,34.180,3.193,SENSOR
185615.032,338295.531,A2,L,34.650,10.941;10.941;10.941;10.941,SENSOR;SENSOR;SENSOR;SENSOR
185635.769,338372.769,A2,L,34.730,4.981,SENSOR
185690.386,338667.575,A2,L,35.030,8.819,EXIT
185692.955,338687.409,A2,L,35.050,4.228;12.809,SENSOR;SENSOR
185694.240,338697.326,A2,L,35.060,13.750,SENSOR
185728.364,338985.309,A2,L,35.350,4.821,SENSOR
185730.670,339005.176,A2,L,35.370,14.661;14.661;14.661;14.661,SENSOR;SENSOR;SENSOR;SENSOR
185766.375,339313.113,A2,L,35.680,11.573,ENTER
185768.668,339332.981,A2,L,35.700,18.552,SENSOR
185772.083,339362.786,A2,L,35.730,3.445,SENSOR
185806.714,339670.845,A2,L,36.040,12.534,SENSOR
185818.944,339780.164,A2,L,36.150,2.527,SENSOR
185851.967,340178.584,A2,L,36.550,4.836,SENSOR
185852.464,340198.578,A2,L,36.570,13.026;13.026;13.026;13.026,SENSOR;SENSOR;SENSOR;SENSOR
185851.320,340348.550,A2,L,36.720,2.530,SENSOR
185832.637,340607.787,A2,L,36.980,7.333,SENSOR
185796.420,340855.140,A2,L,37.230,13.002,SENSOR
185794.952,340865.032,A2,L,37.240,4.720,SENSOR
185729.687,341300.164,A2,L,37.680,14.873,SENSOR
185728.188,341310.051,A2,L,37.690,4.380,SENSOR
185699.183,341497.823,A2,L,37.880,2.929;12.986,SENSOR;SENSOR
185632.426,341942.832,A2,L,38.330,11.809,SENSOR
185613.181,342091.523,A2,L,38.480,4.057;10.263;4.057;4.057,SENSOR;SENSOR;SENSOR;SENSOR
185607.967,342381.218,A2,L,38.770,4.648;11.441;11.441;11.441;11.441,SENSOR;SENSOR;SENSOR;SENSOR;SENSOR
185644.614,342678.659,A2,L,39.070,9.927,SENSOR
185658.005,342747.366,A2,L,39.140,10.627,EXIT
185690.194,342904.085,A2,L,39.300,3.972;10.157,SENSOR;SENSOR
185734.004,343078.654,A2,L,39.480,8.928,ENTER
185741.668,343107.659,A2,L,39.510,9.488;9.488,SENSOR;SENSOR
185753.067,343145.987,A2,L,39.550,11.133;11.133;11.133;11.133,SENSOR;SENSOR;SENSOR;SENSOR
185756.115,343155.511,A2,L,39.560,2.923,SENSOR
185898.664,343550.368,A2,L,39.980,14.199,SENSOR
185938.635,343642.028,A2,L,40.080,2.856;2.856;2.856,SENSOR;SENSOR;SENSOR
185975.729,343724.027,A2,L,40.170,13.752,SENSOR
185979.897,343733.117,A2,L,40.180,4.101,SENSOR
186226.358,344202.173,A2,L,40.710,14.877,SENSOR
186231.136,344210.957,A2,L,40.720,4.954,SENSOR
